Row Number,timestamp,temperature,condition,sunrise,sunset,timestamp,speed,direction,directionType,timestamp,surf,swells,timestamp,height,type
20,2025-09-29 20:00:00,20.75483,NIGHT_CLEAR,,,2025-09-29 20:00:00,14.43422,315.28217,Offshore,2025-09-29 20:00:00,"{'min': 0.6, 'max': 0.9, 'plus': False, 'humanRelation': 'Thigh to waist', 'raw': {'min': 0.66, 'max': 0.96}}","[{'height': 1.02859, 'period': 8, 'spread': 16.18, 'direction': 169.10785}, {'height': 0.73318, 'period': 4, 'spread': 28.08, 'direction': 346.26593}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0.90779, 'period': 9, 'spread': 18.29, 'direction': 93.65283}]",2025-09-29 20:00:00,1.32,NORMAL
21,2025-09-29 21:00:00,20.43628,NIGHT_CLEAR,,,2025-09-29 21:00:00,13.58754,313.97944,Offshore,2025-09-29 21:00:00,"{'min': 0.6, 'max': 0.9, 'plus': False, 'humanRelation': 'Thigh to waist', 'raw': {'min': 0.63, 'max': 0.94}}","[{'height': 0.98639, 'period': 8, 'spread': 16.03, 'direction': 169.95905}, {'height': 0.76496, 'period': 4, 'spread': 28.05, 'direction': 347.78595}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0.88814, 'period': 9, 'spread': 18.24, 'direction': 93.73993}]",2025-09-29 21:00:00,1.22,NORMAL
22,2025-09-29 22:00:00,20.01868,NIGHT_CLEAR,,,2025-09-29 22:00:00,12.6724,306.4581,Offshore,2025-09-29 22:00:00,"{'min': 0.6, 'max': 0.9, 'plus': False, 'humanRelation': 'Thigh to waist', 'raw': {'min': 0.6, 'max': 0.91}}","[{'height': 0.94614, 'period': 8, 'spread': 15.7, 'direction': 170.7699}, {'height': 0.77402, 'period': 4, 'spread': 28.33, 'direction': 348.60077}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0.87315, 'period': 9, 'spread': 18.35, 'direction': 93.7254}]",2025-09-29 22:00:00,1.07,NORMAL
23,2025-09-29 23:00:00,19.62266,NIGHT_CLEAR,,,2025-09-29 23:00:00,11.12839,296.7276,Offshore,2025-09-29 23:00:00,"{'min': 0.6, 'max': 0.9, 'plus': False, 'humanRelation': 'Thigh to waist', 'raw': {'min': 0.59, 'max': 0.89}}","[{'height': 0.90654, 'period': 8, 'spread': 15.8, 'direction': 171.26465}, {'height': 0.76581, 'period': 4, 'spread': 29.65, 'direction': 351.44781}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0.86194, 'period': 9, 'spread': 18.85, 'direction': 93.43799}]",2025-09-29 23:00:00,0.9,NORMAL
24,2025-10-07 00:00:00,18.75229,NIGHT_LIGHT_SHOWERS,1759783049.0,1759824754.0,2025-10-07 00:00:00,17.21127,66.17587,Onshore,2025-10-07 00:00:00,"{'min': 0.9, 'max': 1.4, 'plus': False, 'humanRelation': 'Waist to shoulder', 'raw': {'min': 1.23, 'max': 1.41}}","[{'height': 1.74096, 'period': 7, 'spread': 30.21, 'direction': 51.15417}, {'height': 0.71248, 'period': 8, 'spread': 13.2, 'direction': 116.6922}, {'height': 0.68629, 'period': 8, 'spread': 9.58, 'direction': 154.57672}, {'height': 0.06242, 'period': 14, 'spread': 8.53, 'direction': 82.52429}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}]",2025-10-07 00:00:00,0.79,NORMAL
25,2025-10-07 01:00:00,18.30557,NIGHT_LIGHT_RAIN,1759869503.0,1759911065.0,2025-10-07 01:00:00,17.66829,72.30781,Onshore,2025-10-07 01:00:00,"{'min': 0.9, 'max': 1.4, 'plus': False, 'humanRelation': 'Waist to shoulder', 'raw': {'min': 1.03, 'max': 1.33}}","[{'height': 1.66688, 'period': 7, 'spread': 30.71, 'direction': 52.68274}, {'height': 0.73565, 'period': 8, 'spread': 13.99, 'direction': 116.38068}, {'height': 0.65941, 'period': 8, 'spread': 9.45, 'direction': 155.31213}, {'height': 0.06308, 'period': 14, 'spread': 8.58, 'direction': 82.41675}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}]",2025-10-07 01:00:00,1.02,NORMAL
26,2025-10-07 02:00:00,17.94148,NIGHT_LIGHT_SHOWERS,1759955957.0,1759997377.0,2025-10-07 02:00:00,14.97373,67.3748,Onshore,2025-10-07 02:00:00,"{'min': 0.9, 'max': 1.2, 'plus': False, 'humanRelation': 'Waist to chest', 'raw': {'min': 0.98, 'max': 1.29}}","[{'height': 1.59911, 'period': 6, 'spread': 31.61, 'direction': 55.40649}, {'height': 0.73212, 'period': 8, 'spread': 14.09, 'direction': 117.96576}, {'height': 0.62297, 'period': 8, 'spread': 8.88, 'direction': 156.70197}, {'height': 0.07001, 'period': 14, 'spread': 10.34, 'direction': 85.35303}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}]",2025-10-07 02:00:00,1.22,NORMAL
27,2025-10-07 03:00:00,17.70557,NIGHT_LIGHT_SHOWERS,1760042412.0,1760083689.0,2025-10-07 03:00:00,14.0769,78.28019,Onshore,2025-10-07 03:00:00,"{'min': 0.9, 'max': 1.2, 'plus': False, 'humanRelation': 'Waist to chest', 'raw': {'min': 1.05, 'max': 1.25}}","[{'height': 1.53844, 'period': 6, 'spread': 32.19, 'direction': 58.65393}, {'height': 0.71039, 'period': 8, 'spread': 13.29, 'direction': 119.0448}, {'height': 0.61051, 'period': 8, 'spread': 8.97, 'direction': 157.05176}, {'height': 0.07124, 'period': 14, 'spread': 9.47, 'direction': 85.61261}, {'height': 0.06709, 'period': 10, 'spread': 6.91, 'direction': 46.98608}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}]",2025-10-07 03:00:00,1.36,NORMAL
28,2025-10-07 04:00:00,17.75,NIGHT_LIGHT_SHOWERS,1760128867.0,1760170001.0,2025-10-07 04:00:00,13.32885,80.66974,Onshore,2025-10-07 04:00:00,"{'min': 0.6, 'max': 1.1, 'plus': False, 'humanRelation': 'Thigh to stomach', 'raw': {'min': 0.76, 'max': 1.06}}","[{'height': 1.48496, 'period': 6, 'spread': 32.39, 'direction': 61.50781}, {'height': 0.70551, 'period': 8, 'spread': 13.12, 'direction': 118.72833}, {'height': 0.58874, 'period': 8, 'spread': 8.84, 'direction': 156.27673}, {'height': 0.0675, 'period': 14, 'spread': 8.46, 'direction': 83.62402}, {'height': 0.06944, 'period': 10, 'spread': 6.88, 'direction': 46.92194}, {'height': 0.14484, 'period': 10, 'spread': 1.27, 'direction': 170.16254}]",2025-10-07 04:00:00,1.41,NORMAL
29,2025-10-07 05:00:00,17.84487,NIGHT_LIGHT_SHOWERS,1760215322.0,1760256315.0,2025-10-07 05:00:00,13.52201,88.07941,Onshore,2025-10-07 05:00:00,"{'min': 0.6, 'max': 1.1, 'plus': False, 'humanRelation': 'Thigh to stomach', 'raw': {'min': 0.96, 'max': 1.1}}","[{'height': 1.4327, 'period': 6, 'spread': 32.22, 'direction': 63.56555}, {'height': 0.73028, 'period': 8, 'spread': 14.29, 'direction': 116.92261}, {'height': 0.51898, 'period': 8, 'spread': 8.71, 'direction': 156.00348}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0.0701, 'period': 10, 'spread': 6.54, 'direction': 46.45337}, {'height': 0.31313, 'period': 10, 'spread': 9.66, 'direction': 160.99078}]",2025-10-07 05:00:00,1.36,NORMAL
